fila_original,clase_real,probabilidad_Regresión logística,prediccion_Regresión logística,probabilidad_Árbol,prediccion_Árbol,probabilidad_k vecinos,prediccion_k vecinos,probabilidad_Random forest,prediccion_Random forest
2266,No,0.03135073778598215,No,0.04044943820224719,No,0.06666666666666667,No,0.033710628037347694,No
4086,Sí,0.20349093497765916,No,0.13131313131313133,No,0.13333333333333333,No,0.17377969216232558,No
6142,Sí,0.30509158531030717,No,0.34797297297297297,No,0.4666666666666667,No,0.4536201984035194,No
3003,No,0.06964605622591784,No,0.06006006006006006,No,0.0,No,0.0730090509267794,No
6853,No,0.06698879667740848,No,0.06006006006006006,No,0.06666666666666667,No,0.055293923087893285,No
4643,No,0.04034920907990474,No,0.06006006006006006,No,0.13333333333333333,No,0.09780808044125414,No
5489,Sí,0.876728344089994,Sí,0.7317073170731707,Sí,0.7333333333333333,Sí,0.755806691717729,Sí
1083,No,0.04206005724408748,No,0.04044943820224719,No,0.06666666666666667,No,0.055949697166602176,No
7259,No,0.03343094056436214,No,0.04044943820224719,No,0.0,No,0.04175525286398935,No
6366,No,0.055940475591061835,No,0.04044943820224719,No,0.0,No,0.026778370195470965,No
6968,No,0.035763989675384064,No,0.04044943820224719,No,0.06666666666666667,No,0.055794913015226634,No
6883,No,0.0463546400124702,No,0.06006006006006006,No,0.0,No,0.028785241168092793,No
6639,No,0.04257867125722792,No,0.06006006006006006,No,0.13333333333333333,No,0.040756736240354106,No
1842,No,0.017667580766245184,No,0.06006006006006006,No,0.06666666666666667,No,0.03839301196010927,No
5443,No,0.029562118312621455,No,0.06006006006006006,No,0.0,No,0.03340806909376119,No
5751,No,0.049141314768594214,No,0.04044943820224719,No,0.0,No,0.03299264849672892,No
3405,No,0.08131948033480041,No,0.06006006006006006,No,0.0,No,0.05220251367502688,No
4530,No,0.08948659850949539,No,0.13333333333333333,No,0.06666666666666667,No,0.07355412860560367,No
633,Sí,0.27528119023527126,No,0.48333333333333334,No,0.4666666666666667,No,0.38200861745978953,No
4135,No,0.028631902197428557,No,0.06006006006006006,No,0.13333333333333333,No,0.057583233264051875,No
5925,Sí,0.25598206625275216,No,0.48333333333333334,No,0.3333333333333333,No,0.34159565647400275,No
4053,No,0.069053390236537,No,0.04044943820224719,No,0.0,No,0.04299553403107652,No
7908,No,0.04096192867492908,No,0.04044943820224719,No,0.06666666666666667,No,0.04515842583165563,No
2975,No,0.060461727248510566,No,0.06006006006006006,No,0.13333333333333333,No,0.06696131396409542,No
1460,No,0.03317406925012351,No,0.04044943820224719,No,0.0,No,0.03423378312064609,No
129,No,0.026701741618896692,No,0.06006006006006006,No,0.0,No,0.025404852111235554,No
2363,No,0.03198766859602442,No,0.04044943820224719,No,0.06666666666666667,No,0.06250168709789593,No
127,No,0.07810600135724372,No,0.06006006006006006,No,0.06666666666666667,No,0.08270341142064215,No
4819,No,0.10292343147172357,No,0.06006006006006006,No,0.0,No,0.04148341070334998,No
6959,No,0.03581021784842998,No,0.06006006006006006,No,0.0,No,0.0514874285663925,No
807,No,0.04150618165002007,No,0.04044943820224719,No,0.0,No,0.021867110505882584,No
7264,No,0.04753048367845818,No,0.04044943820224719,No,0.06666666666666667,No,0.04495756001891189,No
791,No,0.04863446042547238,No,0.06006006006006006,No,0.2,No,0.08985312099210936,No
6210,No,0.023739391643523726,No,0.04044943820224719,No,0.06666666666666667,No,0.06276712182046966,No
6893,No,0.09017345989230388,No,0.06006006006006006,No,0.06666666666666667,No,0.04571425660044344,No
245,No,0.04143078757754597,No,0.04044943820224719,No,0.0,No,0.022503799590665337,No
2318,No,0.23656882912325225,No,0.13131313131313133,No,0.2,No,0.14115212344733918,No
6251,No,0.04765288525221837,No,0.06006006006006006,No,0.13333333333333333,No,0.042865116391266195,No
1488,No,0.03056269942973742,No,0.04044943820224719,No,0.0,No,0.032544787156222416,No
6555,No,0.06475370463475283,No,0.06006006006006006,No,0.0,No,0.058231202804391015,No
6182,No,0.044873615172283866,No,0.04044943820224719,No,0.06666666666666667,No,0.03969821782623496,No
4390,No,0.12502477605083595,No,0.06006006006006006,No,0.2,No,0.076595172992466,No
7214,No,0.45811383599670724,No,0.4896551724137931,No,0.4666666666666667,No,0.37200003731100534,No
438,No,0.06986383627967815,No,0.06006006006006006,No,0.0,No,0.06570826436708364,No
2776,No,0.06048082520383558,No,0.04044943820224719,No,0.0,No,0.02581985224424336,No
4638,No,0.09084168938585124,No,0.06006006006006006,No,0.13333333333333333,No,0.11644074170765933,No
7096,No,0.04187103308138938,No,0.06006006006006006,No,0.06666666666666667,No,0.04099237026543556,No
1385,No,0.08633327309616423,No,0.06006006006006006,No,0.13333333333333333,No,0.05358397513808034,No
3094,No,0.008060163322811566,No,0.06006006006006006,No,0.0,No,0.06856617392791736,No
5171,Sí,0.0967456386341135,No,0.06006006006006006,No,0.0,No,0.062044956481804914,No
3542,No,0.059812929111549666,No,0.06006006006006006,No,0.06666666666666667,No,0.0703536584846198,No
899,Sí,0.04205369854291789,No,0.04044943820224719,No,0.0,No,0.04351433086692563,No
5121,No,0.058650320449242954,No,0.04044943820224719,No,0.0,No,0.042644880517431205,No
4508,No,0.056820906853997606,No,0.06006006006006006,No,0.0,No,0.04761394097071759,No
4906,No,0.09632726621166755,No,0.06006006006006006,No,0.0,No,0.09138907866041737,No
7084,No,0.03765050713938857,No,0.06006006006006006,No,0.0,No,0.039673612640332305,No
6797,Sí,0.4590329624931456,No,0.4896551724137931,No,0.9333333333333333,Sí,0.5412625507200368,Sí
1683,No,0.34139227665101923,No,0.34797297297297297,No,0.3333333333333333,No,0.39276716422280783,No
6352,No,0.03247938337433018,No,0.06006006006006006,No,0.0,No,0.05438523187290896,No
5129,Sí,0.39645928771827055,No,0.34797297297297297,No,0.3333333333333333,No,0.32831103469061673,No
4571,No,0.35330104053768135,No,0.13131313131313133,No,0.4,No,0.32639186499892375,No
3540,Sí,0.31146479986572223,No,0.34797297297297297,No,0.4,No,0.37202544776420404,No
900,No,0.09128211528687805,No,0.06006006006006006,No,0.13333333333333333,No,0.11499266957719492,No
2825,Sí,0.6552151136859025,Sí,0.6753246753246753,Sí,0.7333333333333333,Sí,0.6933917891778649,Sí
5162,No,0.06490784018134789,No,0.06006006006006006,No,0.13333333333333333,No,0.0716500036244926,No
6322,No,0.02966090734573346,No,0.06006006006006006,No,0.06666666666666667,No,0.04785719431291188,No
3145,No,0.044536337501568504,No,0.06006006006006006,No,0.0,No,0.04159409907514242,No
1087,No,0.05870172253385887,No,0.06006006006006006,No,0.13333333333333333,No,0.039436888894054146,No
3074,Sí,0.05895399305460741,No,0.06006006006006006,No,0.13333333333333333,No,0.05177418403993624,No
6709,No,0.06151704187061785,No,0.06006006006006006,No,0.0,No,0.04585379538051541,No
7283,No,0.03669469925382096,No,0.04044943820224719,No,0.0,No,0.020831232595299867,No
7744,No,0.03362950185945623,No,0.06006006006006006,No,0.06666666666666667,No,0.058059251899090884,No
1747,Sí,0.06202763193896507,No,0.06006006006006006,No,0.0,No,0.02215871761338181,No
6809,No,0.032482254384295445,No,0.04044943820224719,No,0.0,No,0.03271469953212482,No
3605,No,0.07529698902193543,No,0.06006006006006006,No,0.2,No,0.08546665446518098,No
2717,No,0.042124791406091225,No,0.04044943820224719,No,0.06666666666666667,No,0.09832079229317572,No
3305,No,0.04011280423749503,No,0.04044943820224719,No,0.0,No,0.021856772385731818,No
2897,No,0.49198184864831773,No,0.4896551724137931,No,0.6,Sí,0.45440789801596376,No
2905,No,0.11707006956314008,No,0.06006006006006006,No,0.06666666666666667,No,0.0935944755479546,No
5599,No,0.03631621977329087,No,0.04044943820224719,No,0.2,No,0.0477276752975382,No
3686,No,0.06686444653755674,No,0.06006006006006006,No,0.06666666666666667,No,0.057901381112571,No
1180,Sí,0.3056255210352747,No,0.4896551724137931,No,0.4666666666666667,No,0.41192074304719023,No
553,No,0.04112074537401818,No,0.06006006006006006,No,0.26666666666666666,No,0.04111413642577663,No
3981,No,0.041507941394694374,No,0.04044943820224719,No,0.13333333333333333,No,0.057237427831796604,No
7145,No,0.2063623504173706,No,0.34797297297297297,No,0.4,No,0.35457289881009896,No
5131,Sí,0.10093108518679234,No,0.06006006006006006,No,0.06666666666666667,No,0.15010340200657152,No
3462,No,0.04333389919753084,No,0.04044943820224719,No,0.13333333333333333,No,0.05131055461912227,No
6563,No,0.04990813743876122,No,0.06006006006006006,No,0.0,No,0.04774372042166563,No
535,No,0.08088235230990466,No,0.06006006006006006,No,0.2,No,0.09506647898745893,No
2311,No,0.05922254117094645,No,0.06006006006006006,No,0.13333333333333333,No,0.070432598375129,No
3990,No,0.1533957791117222,No,0.34797297297297297,No,0.3333333333333333,No,0.31299223079091265,No
4995,No,0.229487852803662,No,0.41304347826086957,No,0.06666666666666667,No,0.2021091199282364,No
